epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,2838.35,0.47091,0.51982,1.03486,0.70549,0.73568,0.74663,0.63404,0.69562,1.03681,1.21008,0.000142468,0.000142468,0.000142468
135,2859.01,0.45987,0.49915,1.01309,0.70904,0.74759,0.76067,0.64328,0.67576,1.00788,1.20312,0.000140404,0.000140404,0.000140404
136,2879.74,0.45768,0.50468,1.0194,0.7402,0.72601,0.75008,0.63389,0.66537,1.07042,1.19152,0.00013834,0.00013834,0.00013834
137,2900.59,0.46816,0.52299,1.02041,0.75378,0.71649,0.74969,0.63966,0.6802,1.04693,1.20021,0.000136276,0.000136276,0.000136276
138,2921.38,0.46047,0.50811,1.01275,0.78037,0.71843,0.76107,0.65142,0.65239,1.01036,1.1845,0.000134211,0.000134211,0.000134211
139,2942.8,0.45196,0.49747,1.00929,0.77196,0.69608,0.75466,0.6434,0.67219,1.02011,1.2027,0.000132147,0.000132147,0.000132147
140,2963.31,0.471,0.52177,1.02533,0.74391,0.72437,0.75361,0.64412,0.66749,1.01374,1.19163,0.000130083,0.000130083,0.000130083
141,2984.04,0.45312,0.49838,1.01255,0.71913,0.72418,0.74602,0.63372,0.68531,1.01149,1.20959,0.000128019,0.000128019,0.000128019
142,3004.74,0.45247,0.48503,1.01677,0.7072,0.73803,0.7512,0.64015,0.65766,1.04521,1.18755,0.000125955,0.000125955,0.000125955
143,3025.51,0.44355,0.49332,1.00982,0.71846,0.7132,0.74612,0.6307,0.69442,1.06661,1.21931,0.000123891,0.000123891,0.000123891
144,3046.24,0.45523,0.48856,1.01905,0.72909,0.70959,0.74827,0.63636,0.67,1.0374,1.19501,0.000121827,0.000121827,0.000121827
145,3067.72,0.45309,0.48727,1.01265,0.73034,0.73345,0.75593,0.64168,0.68626,1.03797,1.20508,0.000119762,0.000119762,0.000119762
146,3088.36,0.44592,0.48483,1.01654,0.74664,0.73587,0.75583,0.64566,0.66973,1.03388,1.19871,0.000117698,0.000117698,0.000117698
147,3108.99,0.4379,0.48383,1.00767,0.73332,0.7368,0.76079,0.64838,0.67434,1.01719,1.20697,0.000115634,0.000115634,0.000115634
148,3129.8,0.44607,0.50334,1.00885,0.75471,0.71004,0.75626,0.64767,0.66933,1.00217,1.19605,0.00011357,0.00011357,0.00011357
149,3151.1,0.44146,0.47436,1.00951,0.74219,0.71968,0.75775,0.64569,0.668,1.0238,1.19569,0.000111506,0.000111506,0.000111506
150,3171.56,0.44498,0.47429,1.01899,0.74339,0.71073,0.75505,0.64539,0.66641,1.03656,1.19793,0.000109442,0.000109442,0.000109442
151,3192.12,0.46342,0.49817,1.0162,0.74034,0.7334,0.76172,0.64648,0.65872,1.0086,1.19357,0.000107378,0.000107378,0.000107378
152,3212.84,0.45623,0.47017,1.01551,0.75413,0.72229,0.76633,0.6426,0.67658,0.99612,1.20172,0.000105313,0.000105313,0.000105313
153,3233.45,0.44832,0.48301,1.01265,0.74161,0.71716,0.76524,0.64815,0.67573,1.01276,1.20336,0.000103249,0.000103249,0.000103249
154,3254.01,0.43513,0.46999,1.0023,0.74307,0.71532,0.7596,0.64819,0.65796,1.02905,1.17515,0.000101185,0.000101185,0.000101185
155,3274.52,0.44684,0.47798,1.01576,0.73922,0.73098,0.75388,0.641,0.66202,1.00251,1.17974,9.91209e-05,9.91209e-05,9.91209e-05
156,3295.13,0.43774,0.4626,1.0058,0.72539,0.72353,0.75467,0.63708,0.66207,1.03275,1.18441,9.70567e-05,9.70567e-05,9.70567e-05
157,3315.8,0.43585,0.45807,1.00222,0.75833,0.71268,0.75365,0.63665,0.65963,0.99322,1.18443,9.49926e-05,9.49926e-05,9.49926e-05
